date,age,account,old_balance,new_balance,amount,type,message
2026-12-31,52,oa,158110.84,156293.35,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2026-12-31,52,loan,208646.39,206828.9,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2026-12-31,52,oa,156293.35,157995.56,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2026-12-31,52,sa,262501.83,262945.66,443.83,inflow,sa-Allocation for SA at age 52-443.83
2026-12-31,52,ma,84458.57,85050.53,591.96,inflow,ma-Allocation for MA at age 52-591.96
2026-12-31,52,oa,157995.56,158324.72,329.16,inflow,oa-Interest for ra at age 52-329.16
2026-12-31,52,sa,262945.66,263822.15,876.49,inflow,sa-Interest for ra at age 52-876.49
2026-12-31,52,ma,85050.53,85334.03,283.5,inflow,ma-Interest for ra at age 52-283.50
2026-12-31,52,sa,263822.15,263872.15,50.0,inflow,sa-Extra Interest for ra at age 52-50.00
2027-01-31,52,oa,158324.72,156507.23,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2027-01-31,52,loan,206828.9,205011.41,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2027-01-31,52,oa,156507.23,158209.44,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2027-01-31,52,sa,263872.15,264315.98,443.83,inflow,sa-Allocation for SA at age 52-443.83
2027-01-31,52,ma,85334.03,85925.99,591.96,inflow,ma-Allocation for MA at age 52-591.96
2027-02-28,52,oa,158209.44,156391.95,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2027-02-28,52,loan,205011.41,203193.92,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2027-02-28,52,oa,156391.95,158094.16,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2027-02-28,52,sa,264315.98,264759.81,443.83,inflow,sa-Allocation for SA at age 52-443.83
2027-02-28,52,ma,85925.99,86517.95,591.96,inflow,ma-Allocation for MA at age 52-591.96
2027-03-31,52,oa,158094.16,156276.67,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2027-03-31,52,loan,203193.92,201376.43,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2027-03-31,52,oa,156276.67,157978.88,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2027-03-31,52,sa,264759.81,265203.64,443.83,inflow,sa-Allocation for SA at age 52-443.83
2027-03-31,52,ma,86517.95,87109.91,591.96,inflow,ma-Allocation for MA at age 52-591.96
2027-04-30,52,oa,157978.88,156161.39,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2027-04-30,52,loan,201376.43,199558.94,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2027-04-30,52,oa,156161.39,157863.6,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2027-04-30,52,sa,265203.64,265647.47,443.83,inflow,sa-Allocation for SA at age 52-443.83
2027-04-30,52,ma,87109.91,87701.87,591.96,inflow,ma-Allocation for MA at age 52-591.96
2027-05-31,52,oa,157863.6,156046.11,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2027-05-31,52,loan,199558.94,197741.45,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2027-05-31,52,oa,156046.11,157748.32,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2027-05-31,52,sa,265647.47,266091.3,443.83,inflow,sa-Allocation for SA at age 52-443.83
2027-05-31,52,ma,87701.87,88293.83,591.96,inflow,ma-Allocation for MA at age 52-591.96
2027-06-30,52,oa,157748.32,155930.83,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 52--1817.49"
2027-06-30,52,loan,197741.45,195923.96,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 52--1817.49"
2027-06-30,52,oa,155930.83,157633.04,1702.21,inflow,oa-Allocation for OA at age 52-1702.21
2027-06-30,52,sa,266091.3,266535.13,443.83,inflow,sa-Allocation for SA at age 52-443.83
2027-06-30,52,ma,88293.83,88885.79,591.96,inflow,ma-Allocation for MA at age 52-591.96
2027-07-31,53,oa,157633.04,155815.55,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2027-07-31,53,loan,195923.96,194106.47,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2027-07-31,53,oa,155815.55,157517.76,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2027-07-31,53,sa,266535.13,266978.96,443.83,inflow,sa-Allocation for SA at age 53-443.83
2027-07-31,53,ma,88885.79,89477.75,591.96,inflow,ma-Allocation for MA at age 53-591.96
2027-08-31,53,oa,157517.76,155700.27,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2027-08-31,53,loan,194106.47,192288.98,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2027-08-31,53,oa,155700.27,157402.48,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2027-08-31,53,sa,266978.96,267422.79,443.83,inflow,sa-Allocation for SA at age 53-443.83
2027-08-31,53,ma,89477.75,90069.71,591.96,inflow,ma-Allocation for MA at age 53-591.96
2027-09-30,53,oa,157402.48,155584.99,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2027-09-30,53,loan,192288.98,190471.49,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2027-09-30,53,oa,155584.99,157287.2,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2027-09-30,53,sa,267422.79,267866.62,443.83,inflow,sa-Allocation for SA at age 53-443.83
2027-09-30,53,ma,90069.71,90661.67,591.96,inflow,ma-Allocation for MA at age 53-591.96
2027-10-31,53,oa,157287.2,155469.71,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2027-10-31,53,loan,190471.49,188654.0,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2027-10-31,53,oa,155469.71,157171.92,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2027-10-31,53,sa,267866.62,268310.45,443.83,inflow,sa-Allocation for SA at age 53-443.83
2027-10-31,53,ma,90661.67,91253.63,591.96,inflow,ma-Allocation for MA at age 53-591.96
2027-11-30,53,oa,157171.92,155354.43,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2027-11-30,53,loan,188654.0,186836.51,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2027-11-30,53,oa,155354.43,157056.64,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2027-11-30,53,sa,268310.45,268754.28,443.83,inflow,sa-Allocation for SA at age 53-443.83
2027-11-30,53,ma,91253.63,91845.59,591.96,inflow,ma-Allocation for MA at age 53-591.96
2027-12-31,53,oa,157056.64,155239.15,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2027-12-31,53,loan,186836.51,185019.02,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2027-12-31,53,oa,155239.15,156941.36,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2027-12-31,53,sa,268754.28,269198.11,443.83,inflow,sa-Allocation for SA at age 53-443.83
2027-12-31,53,ma,91845.59,92437.55,591.96,inflow,ma-Allocation for MA at age 53-591.96
2027-12-31,53,oa,156941.36,157268.32,326.96,inflow,oa-Interest for ra at age 53-326.96
2027-12-31,53,sa,269198.11,270095.44,897.33,inflow,sa-Interest for ra at age 53-897.33
2027-12-31,53,ma,92437.55,92745.68,308.13,inflow,ma-Interest for ra at age 53-308.13
2027-12-31,53,sa,270095.44,270145.44,50.0,inflow,sa-Extra Interest for ra at age 53-50.00
2028-01-31,53,oa,157268.32,155450.83,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2028-01-31,53,loan,185019.02,183201.53,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2028-01-31,53,oa,155450.83,157153.04,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2028-01-31,53,sa,270145.44,270589.27,443.83,inflow,sa-Allocation for SA at age 53-443.83
2028-01-31,53,ma,92745.68,93337.64,591.96,inflow,ma-Allocation for MA at age 53-591.96
2028-02-29,53,oa,157153.04,155335.55,-1817.49,outflow,"oa-Loan payment from OA Account at year 4, age 53--1817.49"
2028-02-29,53,loan,183201.53,181384.04,-1817.49,outflow,"loan-Loan payment from OA Account at year 4, age 53--1817.49"
2028-02-29,53,oa,155335.55,157037.76,1702.21,inflow,oa-Allocation for OA at age 53-1702.21
2028-02-29,53,sa,270589.27,271033.1,443.83,inflow,sa-Allocation for SA at age 53-443.83
2028-02-29,53,ma,93337.64,93929.6,591.96,inflow,ma-Allocation for MA at age 53-591.96
