DATE_KEY,REF,AGE,ACCOUNT,TYPE,INFLOW,OUTFLOW,OA,SA,MA,RA,LOANS,EXCESS,MESSAGE
2036-04-30,100000550,61,ma,inflow,2299.92,0.0,295291.73000000074,295291.73000000074,295291.73000000074,295291.73000000074,295291.73000000074,295291.73000000074,ma-Allocation for ma at age 61-2299.92
2036-04-30,100000551,61,ra,inflow,219.04,0.0,127316.56999999947,127316.56999999947,127316.56999999947,127316.56999999947,127316.56999999947,127316.56999999947,ra-Allocation for ra at age 61-219.04
2036-05-31,100000552,61,oa,inflow,219.04,0.0,18172.100000000035,18172.100000000035,18172.100000000035,18172.100000000035,18172.100000000035,18172.100000000035,oa-Allocation for oa at age 61-219.04
2036-05-31,100000553,61,ma,inflow,2299.92,0.0,297591.6500000007,297591.6500000007,297591.6500000007,297591.6500000007,297591.6500000007,297591.6500000007,ma-Allocation for ma at age 61-2299.92
2036-05-31,100000554,61,ra,inflow,219.04,0.0,127535.60999999946,127535.60999999946,127535.60999999946,127535.60999999946,127535.60999999946,127535.60999999946,ra-Allocation for ra at age 61-219.04
2036-06-30,100000555,61,oa,inflow,219.04,0.0,18391.140000000036,18391.140000000036,18391.140000000036,18391.140000000036,18391.140000000036,18391.140000000036,oa-Allocation for oa at age 61-219.04
2036-06-30,100000556,61,ma,inflow,2299.92,0.0,299891.5700000007,299891.5700000007,299891.5700000007,299891.5700000007,299891.5700000007,299891.5700000007,ma-Allocation for ma at age 61-2299.92
2036-06-30,100000557,61,ra,inflow,219.04,0.0,127754.64999999946,127754.64999999946,127754.64999999946,127754.64999999946,127754.64999999946,127754.64999999946,ra-Allocation for ra at age 61-219.04
2036-07-31,100000558,62,oa,inflow,219.04,0.0,18610.180000000037,18610.180000000037,18610.180000000037,18610.180000000037,18610.180000000037,18610.180000000037,oa-Allocation for oa at age 62-219.04
2036-07-31,100000559,62,ma,inflow,2299.92,0.0,302191.4900000007,302191.4900000007,302191.4900000007,302191.4900000007,302191.4900000007,302191.4900000007,ma-Allocation for ma at age 62-2299.92
2036-07-31,100000560,62,ra,inflow,219.04,0.0,127973.68999999945,127973.68999999945,127973.68999999945,127973.68999999945,127973.68999999945,127973.68999999945,ra-Allocation for ra at age 62-219.04
2036-08-31,100000561,62,oa,inflow,219.04,0.0,18829.220000000038,18829.220000000038,18829.220000000038,18829.220000000038,18829.220000000038,18829.220000000038,oa-Allocation for oa at age 62-219.04
2036-08-31,100000562,62,ma,inflow,2299.92,0.0,304491.4100000007,304491.4100000007,304491.4100000007,304491.4100000007,304491.4100000007,304491.4100000007,ma-Allocation for ma at age 62-2299.92
2036-08-31,100000563,62,ra,inflow,219.04,0.0,128192.72999999944,128192.72999999944,128192.72999999944,128192.72999999944,128192.72999999944,128192.72999999944,ra-Allocation for ra at age 62-219.04
2036-09-30,100000564,62,oa,inflow,219.04,0.0,19048.26000000004,19048.26000000004,19048.26000000004,19048.26000000004,19048.26000000004,19048.26000000004,oa-Allocation for oa at age 62-219.04
2036-09-30,100000565,62,ma,inflow,2299.92,0.0,306791.33000000066,306791.33000000066,306791.33000000066,306791.33000000066,306791.33000000066,306791.33000000066,ma-Allocation for ma at age 62-2299.92
2036-09-30,100000566,62,ra,inflow,219.04,0.0,128411.76999999944,128411.76999999944,128411.76999999944,128411.76999999944,128411.76999999944,128411.76999999944,ra-Allocation for ra at age 62-219.04
2036-10-31,100000567,62,oa,inflow,219.04,0.0,19267.30000000004,19267.30000000004,19267.30000000004,19267.30000000004,19267.30000000004,19267.30000000004,oa-Allocation for oa at age 62-219.04
2036-10-31,100000568,62,ma,inflow,2299.92,0.0,309091.25000000064,309091.25000000064,309091.25000000064,309091.25000000064,309091.25000000064,309091.25000000064,ma-Allocation for ma at age 62-2299.92
2036-10-31,100000569,62,ra,inflow,219.04,0.0,128630.80999999943,128630.80999999943,128630.80999999943,128630.80999999943,128630.80999999943,128630.80999999943,ra-Allocation for ra at age 62-219.04
2036-11-30,100000570,62,oa,inflow,219.04,0.0,19486.34000000004,19486.34000000004,19486.34000000004,19486.34000000004,19486.34000000004,19486.34000000004,oa-Allocation for oa at age 62-219.04
2036-11-30,100000571,62,ma,inflow,2299.92,0.0,311391.1700000006,311391.1700000006,311391.1700000006,311391.1700000006,311391.1700000006,311391.1700000006,ma-Allocation for ma at age 62-2299.92
2036-11-30,100000572,62,ra,inflow,219.04,0.0,128849.84999999942,128849.84999999942,128849.84999999942,128849.84999999942,128849.84999999942,128849.84999999942,ra-Allocation for ra at age 62-219.04
2036-12-31,100000573,62,oa,inflow,219.04,0.0,19705.38000000004,19705.38000000004,19705.38000000004,19705.38000000004,19705.38000000004,19705.38000000004,oa-Allocation for oa at age 62-219.04
